run_number,timestamp,operation,time_seconds
1,2025-11-03T15:29:27.511613,get_project_detail,0.03786206245422363
1,2025-11-03T15:29:27.511613,get_annotation_tasks,0.8093202114105225
1,2025-11-03T15:29:27.511613,total_time,0.8472280502319336
2,2025-11-03T15:29:29.590259,get_project_detail,0.022387981414794922
2,2025-11-03T15:29:29.590259,get_annotation_tasks,0.9502673149108887
2,2025-11-03T15:29:29.590259,total_time,0.9727210998535156
3,2025-11-03T15:29:31.784525,get_project_detail,0.02647686004638672
3,2025-11-03T15:29:31.784525,get_annotation_tasks,1.0229761600494385
3,2025-11-03T15:29:31.784525,total_time,1.0495209693908691
4,2025-11-03T15:29:34.056778,get_project_detail,0.029335975646972656
4,2025-11-03T15:29:34.056778,get_annotation_tasks,0.925612211227417
4,2025-11-03T15:29:34.056778,total_time,0.9550089836120605
5,2025-11-03T15:29:36.225432,get_project_detail,0.027726173400878906
5,2025-11-03T15:29:36.225432,get_annotation_tasks,1.0007710456848145
5,2025-11-03T15:29:36.225432,total_time,1.0285780429840088
6,2025-11-03T15:29:38.456100,get_project_detail,0.02234482765197754
6,2025-11-03T15:29:38.456100,get_annotation_tasks,0.8130581378936768
6,2025-11-03T15:29:38.456100,total_time,0.8354308605194092
7,2025-11-03T15:29:40.493290,get_project_detail,0.029585838317871094
7,2025-11-03T15:29:40.493290,get_annotation_tasks,0.9531567096710205
7,2025-11-03T15:29:40.493290,total_time,0.9827980995178223
8,2025-11-03T15:29:42.697528,get_project_detail,0.027801990509033203
8,2025-11-03T15:29:42.697528,get_annotation_tasks,1.0591869354248047
8,2025-11-03T15:29:42.697528,total_time,1.0870530605316162
9,2025-11-03T15:29:44.990767,get_project_detail,0.024710893630981445
9,2025-11-03T15:29:44.990767,get_annotation_tasks,0.9021310806274414
9,2025-11-03T15:29:44.990767,total_time,0.9269030094146729
10,2025-11-03T15:29:47.143945,get_project_detail,0.028608083724975586
10,2025-11-03T15:29:47.143945,get_annotation_tasks,1.015143871307373
10,2025-11-03T15:29:47.143945,total_time,1.0438282489776611
