run_number,timestamp,operation,project_uuid,time_seconds
1,2025-11-03T15:26:47.726283,get_many_annotation_projects,N/A,0.045929908752441406
1,2025-11-03T15:26:47.726283,get_annotation_tasks,89,0.10209083557128906
1,2025-11-03T15:26:47.726283,get_annotation_tasks,86,0.07260894775390625
1,2025-11-03T15:26:47.726283,get_annotation_tasks,84,0.2599308490753174
1,2025-11-03T15:26:47.726283,get_annotation_tasks,78,0.9133031368255615
1,2025-11-03T15:26:47.726283,get_annotation_tasks,76,0.060029029846191406
1,2025-11-03T15:26:47.726283,get_annotation_tasks,74,0.04475212097167969
1,2025-11-03T15:26:47.726283,get_annotation_tasks,72,0.08713889122009277
1,2025-11-03T15:26:47.726283,get_annotation_tasks,69,0.16740703582763672
1,2025-11-03T15:26:47.726283,total_time,N/A,1.7533481121063232
1,2025-11-03T15:27:12.926555,get_many_annotation_projects,N/A,0.04325103759765625
1,2025-11-03T15:27:12.926555,get_annotation_tasks,89,0.09063506126403809
1,2025-11-03T15:27:12.926555,get_annotation_tasks,86,0.07024574279785156
1,2025-11-03T15:27:12.926555,get_annotation_tasks,84,0.23681902885437012
1,2025-11-03T15:27:12.926555,get_annotation_tasks,78,1.0775930881500244
1,2025-11-03T15:27:12.926555,get_annotation_tasks,76,0.05700492858886719
1,2025-11-03T15:27:12.926555,get_annotation_tasks,74,0.0500788688659668
1,2025-11-03T15:27:12.926555,get_annotation_tasks,72,0.08660101890563965
1,2025-11-03T15:27:12.926555,get_annotation_tasks,69,0.1672511100769043
1,2025-11-03T15:27:12.926555,total_time,N/A,1.8796412944793701
2,2025-11-03T15:27:16.071390,get_many_annotation_projects,N/A,0.027432918548583984
2,2025-11-03T15:27:16.071390,get_annotation_tasks,89,0.03444409370422363
2,2025-11-03T15:27:16.071390,get_annotation_tasks,86,0.06118297576904297
2,2025-11-03T15:27:16.071390,get_annotation_tasks,84,0.22518014907836914
2,2025-11-03T15:27:16.071390,get_annotation_tasks,78,0.9286978244781494
2,2025-11-03T15:27:16.071390,get_annotation_tasks,76,0.0592961311340332
2,2025-11-03T15:27:16.071390,get_annotation_tasks,74,0.04479479789733887
2,2025-11-03T15:27:16.071390,get_annotation_tasks,72,0.0881190299987793
2,2025-11-03T15:27:16.071390,get_annotation_tasks,69,0.17534780502319336
2,2025-11-03T15:27:16.071390,total_time,N/A,1.6446399688720703
